borough,dev_name,source,map_file,table_file,arts_count
BRONX,"BETANCES II, 18",PACT,"PACT_BETANCES_II,_18_map.html","PACT_BETANCES_II,_18_table.html",4
BRONX,"BETANCES II, 9A",PACT,"PACT_BETANCES_II,_9A_map.html",,0
BRONX,"BETANCES III, 13",PACT,"PACT_BETANCES_III,_13_map.html",,0
BRONX,"BETANCES III, 18",PACT,"PACT_BETANCES_III,_18_map.html","PACT_BETANCES_III,_18_table.html",4
BRONX,"BETANCES III, 9A",PACT,"PACT_BETANCES_III,_9A_map.html",,0
BRONX,BETANCES IV,PACT,PACT_BETANCES_IV_map.html,,0
BRONX,BETANCES V,PACT,PACT_BETANCES_V_map.html,PACT_BETANCES_V_table.html,1
BRONX,BETANCES VI,PACT,PACT_BETANCES_VI_map.html,PACT_BETANCES_VI_table.html,1
MANHATTAN,BETHUNE GARDENS,PACT,PACT_BETHUNE_GARDENS_map.html,PACT_BETHUNE_GARDENS_table.html,14
BRONX,BOSTON ROAD PLAZA,PACT,PACT_BOSTON_ROAD_PLAZA_map.html,,0
BRONX,BOSTON SECOR,PACT,PACT_BOSTON_SECOR_map.html,,0
BROOKLYN,BOULEVARD,PACT,PACT_BOULEVARD_map.html,PACT_BOULEVARD_table.html,2
BROOKLYN,BUSHWICK II (GROUPS A & C),PACT,PACT_BUSHWICK_II_(GROUPS_A_&_C)_map.html,PACT_BUSHWICK_II_(GROUPS_A_&_C)_table.html,1
BROOKLYN,BUSHWICK II (GROUPS B & D),PACT,PACT_BUSHWICK_II_(GROUPS_B_&_D)_map.html,PACT_BUSHWICK_II_(GROUPS_B_&_D)_table.html,1
BROOKLYN,BUSHWICK II CDA (GROUP E),PACT,PACT_BUSHWICK_II_CDA_(GROUP_E)_map.html,PACT_BUSHWICK_II_CDA_(GROUP_E)_table.html,2
MANHATTAN,CAMPOS PLAZA II,PACT,PACT_CAMPOS_PLAZA_II_map.html,PACT_CAMPOS_PLAZA_II_table.html,10
BRONX,CLAREMONT PARKWAY-FRANKLIN AVENUE,PACT,PACT_CLAREMONT_PARKWAY-FRANKLIN_AVENUE_map.html,,0
MANHATTAN,CORSI HOUSES,PACT,PACT_CORSI_HOUSES_map.html,PACT_CORSI_HOUSES_table.html,5
BROOKLYN,CROWN HEIGHTS,PACT,PACT_CROWN_HEIGHTS_map.html,PACT_CROWN_HEIGHTS_table.html,4
BRONX,DAVIDSON,PACT,PACT_DAVIDSON_map.html,PACT_DAVIDSON_table.html,1
BRONX,EAGLE AVENUE-EAST 163RD STREET,PACT,PACT_EAGLE_AVENUE-EAST_163RD_STREET_map.html,PACT_EAGLE_AVENUE-EAST_163RD_STREET_table.html,3
BRONX,EAST 180TH STREET-MONTEREY AVENUE,PACT,PACT_EAST_180TH_STREET-MONTEREY_AVENUE_map.html,,0
BRONX,EASTCHESTER GARDENS,PACT,PACT_EASTCHESTER_GARDENS_map.html,,0
BRONX,EDENWALD,PACT,PACT_EDENWALD_map.html,,0
BROOKLYN,FENIMORE-LEFFERTS,PACT,PACT_FENIMORE-LEFFERTS_map.html,PACT_FENIMORE-LEFFERTS_table.html,3
